,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1991,Midwest Division
1,55,27,.671,—,107.1,102.6,4.30,1991,San Antonio Spurs*
2,54,28,.659,1.0,104.0,100.7,3.18,1991,Utah Jazz*
3,52,30,.634,3.0,106.7,103.2,3.27,1991,Houston Rockets*
4,31,51,.378,24.0,105.9,109.9,-3.79,1991,Orlando Magic
5,29,53,.354,26.0,99.6,103.5,-3.75,1991,Minnesota Timberwolves
6,28,54,.341,27.0,99.9,104.5,-4.27,1991,Dallas Mavericks
7,20,62,.244,35.0,119.9,130.8,-10.31,1991,Denver Nuggets
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
9,63,19,.768,—,114.7,106.0,8.47,1991,Portland Trail Blazers*
10,58,24,.707,5.0,106.3,99.6,6.73,1991,Los Angeles Lakers*
11,55,27,.671,8.0,114.0,107.5,6.49,1991,Phoenix Suns*
12,44,38,.537,19.0,116.6,115.0,1.72,1991,Golden State Warriors*
13,41,41,.500,22.0,106.6,105.4,1.31,1991,Seattle SuperSonics*
14,31,51,.378,32.0,103.5,107.0,-3.16,1991,Los Angeles Clippers
15,25,57,.305,38.0,96.7,103.5,-6.27,1991,Sacramento Kings
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1992,Midwest Division
1,55,27,.671,—,108.3,101.9,5.70,1992,Utah Jazz*
2,47,35,.573,8.0,104.0,100.6,2.81,1992,San Antonio Spurs*
3,42,40,.512,13.0,102.0,103.7,-1.94,1992,Houston Rockets
4,24,58,.293,31.0,99.7,107.6,-7.59,1992,Denver Nuggets
5,22,60,.268,33.0,97.6,105.3,-7.47,1992,Dallas Mavericks
6,15,67,.183,40.0,100.5,107.5,-6.85,1992,Minnesota Timberwolves
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Pacific Division
8,57,25,.695,—,111.4,104.1,6.94,1992,Portland Trail Blazers*
9,55,27,.671,2.0,118.7,114.8,3.77,1992,Golden State Warriors*
10,53,29,.646,4.0,112.1,106.2,5.68,1992,Phoenix Suns*
11,47,35,.573,10.0,106.5,104.7,1.86,1992,Seattle SuperSonics*
12,45,37,.549,12.0,102.9,101.9,1.10,1992,Los Angeles Clippers*
13,43,39,.524,14.0,100.4,101.5,-0.95,1992,Los Angeles Lakers*
14,29,53,.354,28.0,104.3,110.3,-5.63,1992,Sacramento Kings
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,Midwest Division
1,55,27,.671,—,104.0,99.8,3.57,1993,Houston Rockets*
2,49,33,.598,6.0,105.5,102.8,2.21,1993,San Antonio Spurs*
3,47,35,.573,8.0,106.2,104.0,1.74,1993,Utah Jazz*
4,36,46,.439,19.0,105.2,106.9,-2.14,1993,Denver Nuggets
5,19,63,.232,36.0,98.1,105.9,-7.62,1993,Minnesota Timberwolves
6,11,71,.134,44.0,99.3,114.5,-14.68,1993,Dallas Mavericks
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Pacific Division
8,62,20,.756,—,113.4,106.7,6.27,1993,Phoenix Suns*
9,55,27,.671,7.0,108.3,101.3,6.66,1993,Seattle SuperSonics*
10,51,31,.622,11.0,108.5,105.4,2.92,1993,Portland Trail Blazers*
11,41,41,.500,21.0,107.1,106.8,0.33,1993,Los Angeles Clippers*
12,39,43,.476,23.0,104.2,105.5,-1.20,1993,Los Angeles Lakers*
13,34,48,.415,28.0,109.9,110.9,-0.94,1993,Golden State Warriors
14,25,57,.305,37.0,107.9,111.1,-3.00,1993,Sacramento Kings
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1994,Midwest Division
1,58,24,.707,—,101.1,96.8,4.19,1994,Houston Rockets*
2,55,27,.671,3.0,100.0,94.8,5.05,1994,San Antonio Spurs*
3,53,29,.646,5.0,101.9,97.7,4.10,1994,Utah Jazz*
4,42,40,.512,16.0,100.3,98.8,1.54,1994,Denver Nuggets*
5,20,62,.244,38.0,96.7,103.6,-6.55,1994,Minnesota Timberwolves
6,13,69,.159,45.0,95.1,103.8,-8.19,1994,Dallas Mavericks
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Pacific Division
8,63,19,.768,—,105.9,96.9,8.68,1994,Seattle SuperSonics*
